"Subject_ID","Condition_name","Radial_frequency","Amplitude","perimeter_cm","Condition_number","RMST"
"Exp1B_S6","RF14A2",14,0.1,10.01,4,14.4934437599999
"Exp1B_S6","RF20A2",20,0.1,12.12,5,27.54012576
"Exp1B_S6","RF8A5",8,0.25,12.16,6,9.55881801000004
"Exp1B_S6","RF10A5",10,0.25,14.08,7,5.91937518000007
"Exp1B_S6","RF14A5",14,0.25,18.18,8,12.75299705
"Exp1B_S6","RF20A5",20,0.25,24.63,9,3.65217604
"Exp1B_S6","RF8A10",8,0.5,20.4,10,5.05525572000005
"Exp1B_S6","RF10A10",10,0.5,24.73,11,2.03886584999999
"Exp1B_S6","RF14A10",14,0.5,33.57,12,2.43618072999999
"Exp1B_S6","RF20A10",20,0.5,47.08,13,1.75418952000004
"Exp1B_S7","RF0A0",0,0,7.22,1,21.7792081199999
"Exp1B_S7","RF8A2",8,0.1,8.27,2,22.48247195
"Exp1B_S7","RF10A2",10,0.1,8.79,3,14.3616096299999
"Exp1B_S7","RF14A2",14,0.1,10.01,4,10.5647455900001
"Exp1B_S7","RF20A2",20,0.1,12.12,5,55.71300943
"Exp1B_S7","RF8A5",8,0.25,12.16,6,14.41811783
"Exp1B_S7","RF10A5",10,0.25,14.08,7,21.76805105
"Exp1B_S7","RF14A5",14,0.25,18.18,8,5.97833381000002
"Exp1B_S7","RF20A5",20,0.25,24.63,9,6.62795154
"Exp1B_S7","RF8A10",8,0.5,20.4,10,4.97210348999993
"Exp1B_S7","RF10A10",10,0.5,24.73,11,3.23683570000007
"Exp1B_S7","RF14A10",14,0.5,33.57,12,3.07912763000002
"Exp1B_S7","RF20A10",20,0.5,47.08,13,2.45178074999994
"Exp1B_S8","RF0A0",0,0,7.22,1,26.58816923
"Exp1B_S8","RF8A2",8,0.1,8.27,2,38.97639897
"Exp1B_S8","RF10A2",10,0.1,8.79,3,17.84728196
"Exp1B_S8","RF14A2",14,0.1,10.01,4,25.97140851
"Exp1B_S8","RF20A2",20,0.1,12.12,5,12.6725642599999
"Exp1B_S8","RF8A5",8,0.25,12.16,6,8.44470785000002
"Exp1B_S8","RF10A5",10,0.25,14.08,7,15.33098623
"Exp1B_S8","RF14A5",14,0.25,18.18,8,10.69475013
"Exp1B_S8","RF20A5",20,0.25,24.63,9,3.62242909000001
"Exp1B_S8","RF8A10",8,0.5,20.4,10,6.09704139000002
"Exp1B_S8","RF10A10",10,0.5,24.73,11,5.26723534000005
"Exp1B_S8","RF14A10",14,0.5,33.57,12,3.35891680000005
"Exp1B_S8","RF20A10",20,0.5,47.08,13,3.54705903000005
"Exp1B_S9","RF0A0",0,0,7.22,1,5.74599749000006
"Exp1B_S9","RF8A2",8,0.1,8.27,2,9.66118270000005
"Exp1B_S9","RF10A2",10,0.1,8.79,3,10.84290571
"Exp1B_S9","RF14A2",14,0.1,10.01,4,9.71309881999997
"Exp1B_S9","RF20A2",20,0.1,12.12,5,31.1912046
"Exp1B_S9","RF8A5",8,0.25,12.16,6,33.37057867
"Exp1B_S9","RF10A5",10,0.25,14.08,7,21.08966413
"Exp1B_S9","RF14A5",14,0.25,18.18,8,7.92259676000003
"Exp1B_S9","RF20A5",20,0.25,24.63,9,5.06075764999998
"Exp1B_S9","RF8A10",8,0.5,20.4,10,21.28443384
"Exp1B_S9","RF10A10",10,0.5,24.73,11,5.07652566
"Exp1B_S9","RF14A10",14,0.5,33.57,12,5.44462831000003
"Exp1B_S9","RF20A10",20,0.5,47.08,13,3.27041346999996
"Exp1B_S10","RF0A0",0,0,7.22,1,13.21696546
"Exp1B_S10","RF8A2",8,0.1,8.27,2,27.1079214799999
"Exp1B_S10","RF10A2",10,0.1,8.79,3,29.0849023799999
"Exp1B_S10","RF14A2",14,0.1,10.01,4,46.43795171
"Exp1B_S10","RF20A2",20,0.1,12.12,5,25.7647189800001
"Exp1B_S10","RF8A5",8,0.25,12.16,6,8.87190958999998
"Exp1B_S10","RF10A5",10,0.25,14.08,7,10.42991834
"Exp1B_S10","RF14A5",14,0.25,18.18,8,10.3041014099999
"Exp1B_S10","RF20A5",20,0.25,24.63,9,2.41682350000004
"Exp1B_S10","RF8A10",8,0.5,20.4,10,3.42794673999996
"Exp1B_S10","RF10A10",10,0.5,24.73,11,4.02065231999996
"Exp1B_S10","RF14A10",14,0.5,33.57,12,3.51553695000005
"Exp1B_S10","RF20A10",20,0.5,47.08,13,2.32335873000008
"Exp1B_S11","RF0A0",0,0,7.22,1,3.38138483999998
"Exp1B_S11","RF8A2",8,0.1,8.27,2,10.51819261
"Exp1B_S11","RF10A2",10,0.1,8.79,3,21.67739923
"Exp1B_S11","RF14A2",14,0.1,10.01,4,13.88249789
"Exp1B_S11","RF20A2",20,0.1,12.12,5,20.34172086
"Exp1B_S11","RF8A5",8,0.25,12.16,6,21.19500885
"Exp1B_S11","RF10A5",10,0.25,14.08,7,11.91584941
"Exp1B_S11","RF14A5",14,0.25,18.18,8,12.03459679
"Exp1B_S11","RF20A5",20,0.25,24.63,9,4.15773030999996
"Exp1B_S11","RF8A10",8,0.5,20.4,10,3.24775079999995
"Exp1B_S11","RF10A10",10,0.5,24.73,11,4.98322814000001
"Exp1B_S11","RF14A10",14,0.5,33.57,12,2.87714270000005
"Exp1B_S11","RF20A10",20,0.5,47.08,13,2.71441042000002
"Exp1B_S13","RF0A0",0,0,7.22,1,7.46905301000003
"Exp1B_S13","RF8A2",8,0.1,8.27,2,10.06447075
"Exp1B_S13","RF10A2",10,0.1,8.79,3,38.71855223
"Exp1B_S13","RF14A2",14,0.1,10.01,4,91.06617828
"Exp1B_S13","RF20A2",20,0.1,12.12,5,17.51541263
"Exp1B_S13","RF8A5",8,0.25,12.16,6,7.47744713000001
"Exp1B_S13","RF10A5",10,0.25,14.08,7,13.38217008
"Exp1B_S13","RF14A5",14,0.25,18.18,8,12.5852157599999
"Exp1B_S13","RF20A5",20,0.25,24.63,9,5.89737265999995
"Exp1B_S13","RF8A10",8,0.5,20.4,10,4.12649913999998
"Exp1B_S13","RF10A10",10,0.5,24.73,11,3.13253665999998
"Exp1B_S13","RF14A10",14,0.5,33.57,12,3.58342308
"Exp1B_S13","RF20A10",20,0.5,47.08,13,2.66004886000001
