"Subject_ID","Condition_number","Radial_frequency","Amplitude","Order","Condition_repeat_number","MousePos_X","MousePos_Y","TargetClicked","ClickTime","TargetPos_X","TargetPos_Y","TargetID","Condition_name","RelativeClickPos_X","RelativeClickPos_Y"
"Exp2B_S6",2,8,0.1,14,2,-0.563950157547981,-4.78313281772176,"T3",102.5196094,-15.7121837715701,2.55567858152137,"T4","RF8A2",15.1482336140221,-7.33881139924313
"Exp2B_S6",8,14,0.25,15,2,-6.24522581877208,4.86668098921035,"T3",1.68237970000018,-6.36357951590333,-8.79269676516106,"T4","RF14A5",0.118353697131251,13.6593777543714
"Exp2B_S6",8,14,0.25,15,2,-7.97885037716032,14.4120595817817,"T2",2.94655840000019,-6.36357951590333,-8.79269676516106,"T4","RF14A5",-1.61527086125699,23.2047563469428
"Exp2B_S6",8,14,0.25,15,2,-6.80917597632006,-8.48013940609186,"T4",8.74629960000016,-6.36357951590333,-8.79269676516106,"T4","RF14A5",-0.445596460416729,0.312557359069208
"Exp2B_S6",8,14,0.25,15,2,3.2166046023107,-3.59257137400936,"T1",10.0343951,-6.36357951590333,-8.79269676516106,"T4","RF14A5",9.58018411821404,5.20012539115171
"Exp2B_S6",11,10,0.5,16,2,-12.4904516375442,0.334192685954359,"T1",1.41251460000012,1.35485613837438,-14.6963401788005,"T4","RF10A10",-13.8453077759185,15.0305328647549
"Exp2B_S6",11,10,0.5,16,2,10.4226343932016,0.375966771698654,"T3",3.036609,1.35485613837438,-14.6963401788005,"T4","RF10A10",9.06777825482719,15.0723069504992
"Exp2B_S6",11,10,0.5,16,2,1.33677074381744,-13.7227871670009,"T4",4.99622790000012,1.35485613837438,-14.6963401788005,"T4","RF10A10",-0.0180853945569448,0.973553011799668
"Exp2B_S6",11,10,0.5,16,2,13.4094815239186,-10.5479566504345,"T5",12.8361163,1.35485613837438,-14.6963401788005,"T4","RF10A10",12.0546253855443,4.14838352836608
"Exp2B_S6",6,8,0.25,17,2,-13.3468203953022,12.8664184092428,"T1",4.5253074000002,8.60419533076677,15.2764356777261,"T4","RF8A5",-21.951015726069,-2.41001726848327
"Exp2B_S6",6,8,0.25,17,2,8.52191349183615,15.7070562398549,"T4",7.18134950000012,8.60419533076677,15.2764356777261,"T4","RF8A5",-0.0822818389306175,0.430620562128778
"Exp2B_S6",6,8,0.25,17,2,1.06523918647952,-12.6366609376492,"T5",8.40506890000006,8.60419533076677,15.2764356777261,"T4","RF8A5",-7.53895614428725,-27.9130966153753
"Exp2B_S6",6,8,0.25,17,2,-14.9342356535854,-2.31846175880836,"T2",23.7408693,8.60419533076677,15.2764356777261,"T4","RF8A5",-23.5384309843522,-17.5948974365345
"Exp2B_S6",13,20,0.5,18,2,-6.39143511887711,3.90587701709157,"T5",1.61422870000001,-9.14387814006118,-10.294231693211,"T4","RF20A10",2.75244302118406,14.2001087103026
"Exp2B_S6",13,20,0.5,18,2,9.85868423565359,1.83805977274897,"T1",2.50994390000005,-9.14387814006118,-10.294231693211,"T4","RF20A10",19.0025623757148,12.13229146596
"Exp2B_S6",13,20,0.5,18,2,6.18256469015564,14.307624367421,"T3",3.51009790000012,-9.14387814006118,-10.294231693211,"T4","RF20A10",15.3264428302168,24.601856060632
"Exp2B_S6",13,20,0.5,18,2,8.25038193449823,-14.0987539386995,"T2",5.80610640000009,-9.14387814006118,-10.294231693211,"T4","RF20A10",17.3942600745594,-3.80452224548847
