"Subject_ID","Condition_name","Radial_frequency","Amplitude","perimeter_cm","Condition_number","RMST"
"Exp2A_S15","RF5A10",5,0.5,9.5,12,18.99577773
"Exp2A_S15","RF8A10",8,0.5,13.67,13,17.90980987
"Exp2A_S17","RF0A0",0,0,7.22,1,30.08875651
"Exp2A_S17","RF3A2",3,0.1,6.72,2,12.02025628
"Exp2A_S17","RF4A2",4,0.1,6.83,3,16.81059536
"Exp2A_S17","RF5A2",5,0.1,6.97,4,41.95317331
"Exp2A_S17","RF8A2",8,0.1,7.52,5,50.13901918
"Exp2A_S17","RF3A5",3,0.25,6.53,6,10.40993654
"Exp2A_S17","RF4A5",4,0.25,7.04,7,87.67179281
"Exp2A_S17","RF5A5",5,0.25,7.64,8,45.27928773
"Exp2A_S17","RF8A5",8,0.25,9.72,9,39.55842284
"Exp2A_S17","RF3A10",3,0.5,6.99,10,6.28727291
"Exp2A_S17","RF4A10",4,0.5,8.2,11,19.31226613
"Exp2A_S17","RF5A10",5,0.5,9.5,12,17.79710753
"Exp2A_S17","RF8A10",8,0.5,13.67,13,15.27207992
"Exp2A_S16","RF0A0",0,0,7.22,1,45.14608822
"Exp2A_S16","RF3A2",3,0.1,6.72,2,5.12452356000007
"Exp2A_S16","RF4A2",4,0.1,6.83,3,16.6386102000001
"Exp2A_S16","RF5A2",5,0.1,6.97,4,41.30749384
"Exp2A_S16","RF8A2",8,0.1,7.52,5,22.7100725000001
"Exp2A_S16","RF3A5",3,0.25,6.53,6,34.07380882
"Exp2A_S16","RF4A5",4,0.25,7.04,7,28.03239208
"Exp2A_S16","RF5A5",5,0.25,7.64,8,13.5257502100001
"Exp2A_S16","RF8A5",8,0.25,9.72,9,21.51712287
"Exp2A_S16","RF3A10",3,0.5,6.99,10,22.11103662
"Exp2A_S16","RF4A10",4,0.5,8.2,11,16.60457357
"Exp2A_S16","RF5A10",5,0.5,9.5,12,11.57839202
"Exp2A_S16","RF8A10",8,0.5,13.67,13,14.61782718
"Exp2A_S18","RF0A0",0,0,7.22,1,34.0164705899999
"Exp2A_S18","RF3A2",3,0.1,6.72,2,23.37205184
"Exp2A_S18","RF4A2",4,0.1,6.83,3,14.1543228399999
"Exp2A_S18","RF5A2",5,0.1,6.97,4,43.2344156700001
"Exp2A_S18","RF8A2",8,0.1,7.52,5,64.4849415
"Exp2A_S18","RF3A5",3,0.25,6.53,6,57.12907831
"Exp2A_S18","RF4A5",4,0.25,7.04,7,18.81134404
"Exp2A_S18","RF5A5",5,0.25,7.64,8,37.2531936899999
"Exp2A_S18","RF8A5",8,0.25,9.72,9,48.57935057
"Exp2A_S18","RF3A10",3,0.5,6.99,10,12.24733553
"Exp2A_S18","RF4A10",4,0.5,8.2,11,16.5055086899999
