"Subject_ID","Condition_name","Condition_number","Radial_frequency","Amplitude","perimeter_cm","Block","Order","TargetNumber","TimeOfEvent","Found_or_Censored","TargetPos_X","TargetPos_Y"
"Exp1B_S1","RF14A5",8,14,0.25,18.18,2,24,5,6.1834334,1,7.019832435,0.813493824
"Exp1B_S1","RF20A2",5,20,0.1,12.12,2,25,5,180,0,-11.98012983,-12.17174417
"Exp1B_S1","RF8A10",10,8,0.5,20.4,2,26,5,33.2024623,1,-15.88034109,13.68997502
"Exp1B_S12","RF8A5",6,8,0.25,12.16,1,1,1,3.7433083,1,4.447198167,2.57390245
"Exp1B_S12","RF0A0",1,0,0,7.22,1,2,1,3.378842,1,-3.175940262,10.44311726
"Exp1B_S12","RF20A10",13,20,0.5,47.08,1,3,1,4.0128148,1,-2.320577742,3.741977222
"Exp1B_S12","RF8A10",10,8,0.5,20.4,1,4,1,2.6595089,1,4.598986944,1.651872723
"Exp1B_S12","RF10A5",7,10,0.25,14.08,1,5,1,7.3365516,1,-0.938965313,11.29651012
"Exp1B_S12","RF14A10",12,14,0.5,33.57,1,6,1,4.2983321,1,-9.136113039,-3.706145631
"Exp1B_S12","RF20A5",9,20,0.25,24.63,1,7,1,4.1866941,1,0.216943076,3.145313229
"Exp1B_S12","RF20A2",5,20,0.1,12.12,1,8,1,8.775302,1,-2.335415427,-8.064073211
"Exp1B_S12","RF10A10",11,10,0.5,24.73,1,9,1,9.1311395,1,0.411636544,-1.426020316
"Exp1B_S12","RF14A2",4,14,0.1,10.01,1,10,1,12.6166935,1,1.511072089,15.92556383
"Exp1B_S12","RF8A2",2,8,0.1,8.27,1,11,1,17.8514387,1,1.761279082,15.70853116
"Exp1B_S12","RF14A5",8,14,0.25,18.18,1,12,1,9.3896988,1,-8.420114051,7.934707386
"Exp1B_S12","RF10A2",3,10,0.1,8.79,1,13,1,8.7691579,1,-8.609761505,-7.692287772
"Exp1B_S12","RF10A5",7,10,0.25,14.08,2,14,1,15.5862965,1,13.9954948,5.139275985
"Exp1B_S12","RF20A2",5,20,0.1,12.12,2,15,1,7.4836082,1,-0.871884651,5.591066248
"Exp1B_S12","RF14A5",8,14,0.25,18.18,2,16,1,13.0235858,1,-5.784798148,-15.29935154
"Exp1B_S12","RF14A2",4,14,0.1,10.01,2,17,1,11.5464106,1,3.307717877,2.962285955
"Exp1B_S12","RF20A5",9,20,0.25,24.63,2,18,1,8.5314522,1,1.411537641,3.346001158
"Exp1B_S12","RF0A0",1,0,0,7.22,2,19,1,6.8795041,1,-10.70481821,-5.897007418
"Exp1B_S12","RF20A10",13,20,0.5,47.08,2,20,1,3.2862467,1,-9.217791304,-9.340302961
