"Subject_ID","Condition_name","Condition_number","Radial_frequency","Amplitude","perimeter_cm","Block","Order","TargetNumber","TimeOfEvent","Found_or_Censored","TargetPos_X","TargetPos_Y"
"Exp1A_S21","RF8A5",9,8,0.25,12.16,1,2,5,105.5549039,1,-13.9101149254179,-10.5423302286358
"Exp1A_S21","RF4A10",11,4,0.5,12.24,1,3,5,22.7769824,1,-11.8785795785331,-12.8827805300463
"Exp1A_S21","RF5A2",4,5,0.1,7.66,1,4,5,180,0,12.1559297143996,-13.4510791323633
"Exp1A_S21","RF4A2",3,4,0.1,7.51,1,5,5,25.7578218,1,5.53956996843149,-6.80396076525161
"Exp1A_S21","RF5A10",12,5,0.5,14.18,1,6,5,42.0755501,1,4.19347134751905,4.20347440118713
"Exp1A_S21","RF3A10",10,3,0.5,10.43,1,7,5,120.0304266,1,9.95396313977885,-14.8636812691401
"Exp1A_S21","RF3A2",2,3,0.1,7.38,1,8,5,56.1693117,1,14.691432847861,-11.1104943798762
"Exp1A_S21","RF8A10",13,8,0.5,20.4,1,9,5,5.26214630000004,1,13.168145961429,-0.258638120503903
"Exp1A_S21","RF5A5",8,5,0.25,9.55,1,10,5,7.15348740000013,1,15.1960368082751,-10.3047808994582
"Exp1A_S21","RF4A5",7,4,0.25,8.8,1,11,5,180,0,4.84578262857218,9.03683702066743
"Exp1A_S21","RF0A0",1,0,0,7.22,1,12,5,180,0,-2.16909585617723,-2.58178195688908
"Exp1A_S21","RF8A2",5,8,0.1,8.27,1,13,5,59.2012644000001,1,14.416556558887,13.161308201091
"Exp1A_S21","RF8A10",13,8,0.5,20.4,2,14,5,14.3453164,1,14.7129873437858,14.2942537375156
"Exp1A_S21","RF8A2",5,8,0.1,8.27,2,15,5,60.9127590000001,1,1.04678036878857,-9.32594370469364
"Exp1A_S21","RF5A5",8,5,0.25,9.55,2,16,5,99.2976251999999,1,-3.62163111175475,9.8147858423745
"Exp1A_S21","RF3A10",10,3,0.5,10.43,2,17,5,50.2550222999998,1,1.50121795626473,1.56388596525024
"Exp1A_S21","RF5A2",4,5,0.1,7.66,2,18,5,25.1864808999999,1,-14.094771282551,-6.83879560337142
"Exp1A_S21","RF5A10",12,5,0.5,14.18,2,19,5,70.9500086000003,1,1.802681932064,-14.2048222305705
"Exp1A_S21","RF4A10",11,4,0.5,12.24,2,20,5,138.3653477,1,12.5074295654351,-2.15963800120853
"Exp1A_S21","RF0A0",1,0,0,7.22,2,21,5,57.7186531000002,1,14.6343364861085,14.5929955964837
"Exp1A_S21","RF3A2",2,3,0.1,7.38,2,22,5,180,0,5.19509348506658,-14.0746332815473
"Exp1A_S21","RF4A5",7,4,0.25,8.8,2,23,5,16.4231242999999,1,14.4012572491692,7.00659609464229
"Exp1A_S21","RF8A5",9,8,0.25,12.16,2,24,5,180,0,14.4749453960567,3.81872706141827
"Exp1A_S21","RF3A5",6,3,0.25,8.17,2,25,5,27.9733245000002,1,-8.75932692566851,2.68171213812493
"Exp1A_S21","RF4A2",3,4,0.1,7.51,2,26,5,4.37444189999997,1,-9.64541540563819,-1.43752814109805
"Exp1A_S1","RF5A2",4,5,0.1,7.66,1,1,1,2.2998546,1,12.6596115807046,9.6829171987754
"Exp1A_S1","RF0A0",1,0,0,7.22,1,2,1,3.57295649999998,1,13.4516934358924,-2.16424298641319
"Exp1A_S1","RF4A5",7,4,0.25,8.8,1,3,1,3.12084450000003,1,1.42225620264512,-6.80025241963015
"Exp1A_S1","RF8A5",9,8,0.25,12.16,1,4,1,4.75914010000008,1,9.08593242022926,7.26553549386951
"Exp1A_S1","RF3A10",10,3,0.5,10.43,1,5,1,1.51613480000003,1,1.32291481920405,0.232433675449332
"Exp1A_S1","RF5A10",12,5,0.5,14.18,1,6,1,1.84119149999992,1,0.0259217973241945,-1.86562167004058
"Exp1A_S1","RF4A10",11,4,0.5,12.24,1,7,1,1.22536500000001,1,-6.64663996994922,-2.76626013968272
"Exp1A_S1","RF5A5",8,5,0.25,9.55,1,8,1,1.60665789999996,1,-5.80746763635927,-3.53412723119775
"Exp1A_S1","RF8A10",13,8,0.5,20.4,1,9,1,5.40184060000001,1,15.1374182830708,3.51328661416956
"Exp1A_S1","RF4A2",3,4,0.1,7.51,1,10,1,4.40593469999999,1,9.33217935115365,-14.8897068936881
"Exp1A_S1","RF3A2",2,3,0.1,7.38,1,11,1,5.4764308,1,-2.0889992165323,-4.75416696937992
"Exp1A_S1","RF3A5",6,3,0.25,8.17,1,12,1,7.29155800000012,1,8.11969268271515,14.7781102100811
"Exp1A_S1","RF8A2",5,8,0.1,8.27,1,13,1,3.25392600000009,1,13.8675623914433,4.26667794844822
"Exp1A_S1","RF3A5",6,3,0.25,8.17,2,14,1,4.4402305000001,1,-6.42540989501853,13.8998846944521
"Exp1A_S1","RF5A5",8,5,0.25,9.55,2,15,1,3.89066750000006,1,7.88157155321167,-13.4940511311566
"Exp1A_S1","RF3A2",2,3,0.1,7.38,2,16,1,3.50369279999995,1,-2.46518279127966,15.8485253617937
"Exp1A_S1","RF8A2",5,8,0.1,8.27,2,17,1,2.80088260000002,1,-4.63682001916433,12.6310981512325
"Exp1A_S1","RF5A2",4,5,0.1,7.66,2,18,1,4.73602449999998,1,5.49223272144077,-9.12129796978964
"Exp1A_S1","RF0A0",1,0,0,7.22,2,19,1,2.09003200000006,1,11.3417084787661,13.2957602997694
"Exp1A_S1","RF8A10",13,8,0.5,20.4,2,20,1,2.40104920000022,1,4.85681626643507,9.96224764420234
"Exp1A_S1","RF4A10",11,4,0.5,12.24,2,21,1,2.0604586000004,1,5.09194713003079,6.74797751791393
"Exp1A_S1","RF8A5",9,8,0.25,12.16,2,22,1,2.86255800000026,1,3.99478121005741,-13.6559932142937
"Exp1A_S1","RF3A10",10,3,0.5,10.43,2,23,1,1.21466340000006,1,-0.623804794348533,3.05832633516538
"Exp1A_S1","RF4A2",3,4,0.1,7.51,2,24,1,1.16267040000002,1,6.31300122700605,10.3424687241701
"Exp1A_S1","RF4A5",7,4,0.25,8.8,2,25,1,2.08441889999995,1,14.6670642329425,4.59967151514223
"Exp1A_S1","RF5A10",12,5,0.5,14.18,2,26,1,1.45789400000012,1,13.2610904507523,-3.7882007274827
"Exp1A_S1","RF5A2",4,5,0.1,7.66,1,1,2,6.0675152,1,-10.9813726973102,-7.61706609643754
"Exp1A_S1","RF0A0",1,0,0,7.22,1,2,2,5.48511189999999,1,-5.75444639537855,4.63554515636864
"Exp1A_S1","RF4A5",7,4,0.25,8.8,1,3,2,3.86462399999999,1,-0.708167985885741,2.21332794814933
"Exp1A_S1","RF8A5",9,8,0.25,12.16,1,4,2,7.47140020000006,1,1.34028602111484,9.99398298299698
"Exp1A_S1","RF3A10",10,3,0.5,10.43,1,5,2,3.32402639999998,1,7.72709082676516,15.7484601066799
"Exp1A_S1","RF5A10",12,5,0.5,14.18,1,6,2,2.96931999999993,1,0.0954715442147673,13.4494060093425
"Exp1A_S1","RF4A10",11,4,0.5,12.24,1,7,2,1.76087889999997,1,-6.29363134150722,3.89258706925886
"Exp1A_S1","RF5A5",8,5,0.25,9.55,1,8,2,2.31867829999999,1,1.26646814505122,-2.0465651995319
"Exp1A_S1","RF8A10",13,8,0.5,20.4,1,9,2,5.84182920000001,1,14.5630568411185,-3.34663087520717
"Exp1A_S1","RF4A2",3,4,0.1,7.51,1,10,2,5.03017149999994,1,7.06352715748523,-5.50686669428291
"Exp1A_S1","RF3A2",2,3,0.1,7.38,1,11,2,7.78883229999997,1,-8.96484545112902,15.1405767658799
"Exp1A_S1","RF3A5",6,3,0.25,8.17,1,12,2,8.76373130000002,1,4.67145098616668,-12.4370190938078
"Exp1A_S1","RF8A2",5,8,0.1,8.27,1,13,2,7.5258510000001,1,-1.97301249050965,8.52861830853367
"Exp1A_S1","RF3A5",6,3,0.25,8.17,2,14,2,4.99250280000001,1,13.5169912309427,0.106198093972921
"Exp1A_S1","RF5A5",8,5,0.25,9.55,2,15,2,6.48289390000014,1,-15.7666108748562,-11.0617516380188
"Exp1A_S1","RF3A2",2,3,0.1,7.38,2,16,2,4.47982329999991,1,8.98059965476491,8.64789318512026
"Exp1A_S1","RF8A2",5,8,0.1,8.27,2,17,2,3.47261950000006,1,9.48376557352514,14.9696150806494
"Exp1A_S1","RF5A2",4,5,0.1,7.66,2,18,2,5.82470719999992,1,-1.63715465732752,-8.67065393216858
"Exp1A_S1","RF0A0",1,0,0,7.22,2,19,2,3.71368220000022,1,-6.62347752638124,-0.352926460844955
"Exp1A_S1","RF8A10",13,8,0.5,20.4,2,20,2,4.82512959999985,1,-2.54571734704204,-11.1361750791579
"Exp1A_S1","RF4A10",11,4,0.5,12.24,2,21,2,2.55609070000037,1,12.2582011338973,-4.79058659634003
"Exp1A_S1","RF8A5",9,8,0.25,12.16,2,22,2,3.75891320000028,1,-9.63527770873152,-8.6803685051607
"Exp1A_S1","RF3A10",10,3,0.5,10.43,2,23,2,1.75856130000011,1,1.4555338101031,10.5871267744435
"Exp1A_S1","RF4A2",3,4,0.1,7.51,2,24,2,2.14672579999979,1,3.0534371949914,-6.08080538516854
"Exp1A_S1","RF4A5",7,4,0.25,8.8,2,25,2,2.53187829999979,1,8.98067459666938,-1.70887157375537
"Exp1A_S1","RF5A10",12,5,0.5,14.18,2,26,2,3.54590849999977,1,-14.8067659356728,4.33396081107931
"Exp1A_S1","RF5A2",4,5,0.1,7.66,1,1,3,8.07565990000001,1,6.65408293089574,-9.10148062096506
"Exp1A_S1","RF0A0",1,0,0,7.22,1,2,3,8.01297440000002,1,5.05735568765411,-7.8498752796522
"Exp1A_S1","RF4A5",7,4,0.25,8.8,1,3,3,6.6011446,1,13.1772459743488,-14.7838068515387
"Exp1A_S1","RF8A5",9,8,0.25,12.16,1,4,3,8.22339110000007,1,-14.8977594664336,14.0009305386095
"Exp1A_S1","RF3A10",10,3,0.5,10.43,1,5,3,6.24419169999999,1,-13.912931593323,-11.7428664580032
"Exp1A_S1","RF5A10",12,5,0.5,14.18,1,6,3,3.7055292,1,9.91130393273584,9.2489240620244
"Exp1A_S1","RF4A10",11,4,0.5,12.24,1,7,3,3.01639419999992,1,1.75644353363367,9.88525146480431
"Exp1A_S1","RF5A5",8,5,0.25,9.55,1,8,3,3.90239599999995,1,10.9122996730368,13.0040238232184
"Exp1A_S1","RF8A10",13,8,0.5,20.4,1,9,3,6.45766790000005,1,-4.12786159019128,-3.43828534178731
"Exp1A_S1","RF4A2",3,4,0.1,7.51,1,10,3,5.60610450000001,1,6.60178302159789,5.30002942371457
"Exp1A_S1","RF3A2",2,3,0.1,7.38,1,11,3,11.0284985999999,1,10.7633228682117,-5.71526573918411
"Exp1A_S1","RF3A5",6,3,0.25,8.17,1,12,3,11.4112825000002,1,10.1831363563506,-4.79381877319139
"Exp1A_S1","RF8A2",5,8,0.1,8.27,1,13,3,55.9499848999999,1,-10.1966894311174,2.68462703884116
"Exp1A_S1","RF3A5",6,3,0.25,8.17,2,14,3,5.48024740000005,1,9.14010995134149,-11.3734319268778
"Exp1A_S1","RF5A5",8,5,0.25,9.55,2,15,3,7.69906130000004,1,-5.96442997152555,-9.37399390614766
"Exp1A_S1","RF3A2",2,3,0.1,7.38,2,16,3,6.91983819999996,1,12.8628680056175,-2.38901898583662
"Exp1A_S1","RF8A2",5,8,0.1,8.27,2,17,3,5.29690000000005,1,-12.361247821803,13.8010909983313
"Exp1A_S1","RF5A2",4,5,0.1,7.66,2,18,3,10.8162393999999,1,6.90358124991193,15.4710169299147
"Exp1A_S1","RF0A0",1,0,0,7.22,2,19,3,6.71421469999996,1,11.7731870447652,0.139534490300957
"Exp1A_S1","RF8A10",13,8,0.5,20.4,2,20,3,8.49701289999985,1,7.09257405301632,2.61119077457435
"Exp1A_S1","RF4A10",11,4,0.5,12.24,2,21,3,2.96412390000023,1,1.66017096151211,-6.1390632305984
"Exp1A_S1","RF8A5",9,8,0.25,12.16,2,22,3,5.23090709999997,1,12.3282021100665,9.66624931640018
"Exp1A_S1","RF3A10",10,3,0.5,10.43,2,23,3,2.39049679999971,1,-7.29250920254465,-5.92908840891455
"Exp1A_S1","RF4A2",3,4,0.1,7.51,2,24,3,3.02658419999989,1,-12.0972382808341,-15.4956023376326
"Exp1A_S1","RF4A5",7,4,0.25,8.8,2,25,3,3.22798319999993,1,-6.30882698622079,-14.3584429503185
"Exp1A_S1","RF5A10",12,5,0.5,14.18,2,26,3,6.80967770000007,1,-11.5589931210629,-11.8450840400176
"Exp1A_S1","RF5A2",4,5,0.1,7.66,1,1,4,8.6839348,1,13.4932990343676,-10.6061318791206
"Exp1A_S1","RF0A0",1,0,0,7.22,1,2,4,33.4772117,1,15.0347652539037,-15.0894559750289
"Exp1A_S1","RF4A5",7,4,0.25,8.8,1,3,4,7.53675880000003,1,-12.2692678453929,-15.2588240837618
"Exp1A_S1","RF8A5",9,8,0.25,12.16,1,4,4,12.1192525,1,10.6489118756719,-13.7480349457791
"Exp1A_S1","RF3A10",10,3,0.5,10.43,1,5,4,6.92417699999999,1,10.6368835878604,-10.5890243251184
"Exp1A_S1","RF5A10",12,5,0.5,14.18,1,6,4,6.08936929999993,1,-8.64920804471824,9.83388049640834
"Exp1A_S1","RF4A10",11,4,0.5,12.24,1,7,4,4.28110900000001,1,13.5425243467911,7.89083219084045
"Exp1A_S1","RF5A5",8,5,0.25,9.55,1,8,4,9.67051909999998,1,-14.2690190531686,-4.62318754853559
"Exp1A_S1","RF8A10",13,8,0.5,20.4,1,9,4,6.85771140000008,1,-5.69400743571938,-9.7344830508911
"Exp1A_S1","RF4A2",3,4,0.1,7.51,1,10,4,39.374004,1,12.6566576222638,15.4634024751278
"Exp1A_S1","RF3A2",2,3,0.1,7.38,1,11,4,64.4448712,1,-10.0886359393705,-5.52257785857545
"Exp1A_S1","RF3A5",6,3,0.25,8.17,1,12,4,50.5235198,1,-11.075347487021,-1.68533894443063
"Exp1A_S1","RF8A2",5,8,0.1,8.27,1,13,4,180,0,15.7088837607972,14.2781137041939
"Exp1A_S1","RF3A5",6,3,0.25,8.17,2,14,4,9.22423580000009,1,-15.1445491470845,5.90720131779186
"Exp1A_S1","RF5A5",8,5,0.25,9.55,2,15,4,8.50687059999996,1,5.6120763983357,2.62463154934049
"Exp1A_S1","RF3A2",2,3,0.1,7.38,2,16,4,9.28001699999982,1,2.8993753044092,-15.405630797873
"Exp1A_S1","RF8A2",5,8,0.1,8.27,2,17,4,11.5130214000001,1,-12.7775672041581,4.27103084235706
"Exp1A_S1","RF5A2",4,5,0.1,7.66,2,18,4,17.1441740999999,1,-14.3721806561083,1.47293072029475
