"Subject_ID","Condition_name","Condition_number","Radial_frequency","Amplitude","perimeter_cm","Block","Order","TargetNumber","TimeOfEvent","Found_or_Censored"
"Exp2_S12","RF4A2",3,4,0.1,6.83,2,17,4,37.8197733000002,1
"Exp2_S12","RF8A5",9,8,0.25,9.72,2,18,4,9.48490559999982,1
"Exp2_S12","RF4A10",11,4,0.5,8.2,2,19,4,18.2760802000003,1
"Exp2_S12","RF8A10",13,8,0.5,13.67,2,20,4,8.80476959999987,1
"Exp2_S12","RF4A5",7,4,0.25,7.04,2,21,4,31.1291428,1
"Exp2_S12","RF5A2",4,5,0.1,6.97,2,22,4,37.4062026000001,1
"Exp2_S12","RF0A0",1,0,0,7.22,2,23,4,6.57974749999994,1
"Exp2_S12","RF3A10",10,3,0.5,6.99,2,24,4,180,0
"Exp2_S12","RF8A2",5,8,0.1,7.52,2,25,4,41.2355252999996,1
"Exp2_S12","RF5A10",12,5,0.5,9.5,2,26,4,88.9281917999997,1
"Exp2_S12","RF5A10",12,5,0.5,9.5,1,1,5,22.5124322,1
"Exp2_S12","RF3A5",6,3,0.25,6.53,1,2,5,41.217586,1
"Exp2_S12","RF4A10",11,4,0.5,8.2,1,3,5,180,0
"Exp2_S12","RF5A5",8,5,0.25,7.64,1,4,5,180,0
"Exp2_S12","RF3A10",10,3,0.5,6.99,1,5,5,180,0
"Exp2_S12","RF4A5",7,4,0.25,7.04,1,6,5,180,0
"Exp2_S12","RF5A2",4,5,0.1,6.97,1,7,5,180,0
"Exp2_S12","RF8A2",5,8,0.1,7.52,1,8,5,132.0492181,1
"Exp2_S12","RF8A5",9,8,0.25,9.72,1,9,5,180,0
"Exp2_S12","RF0A0",1,0,0,7.22,1,10,5,20.0377278999999,1
"Exp2_S12","RF8A10",13,8,0.5,13.67,1,11,5,139.3305789,1
"Exp2_S12","RF4A2",3,4,0.1,6.83,1,12,5,180,0
"Exp2_S12","RF3A2",2,3,0.1,6.72,1,13,5,180,0
"Exp2_S12","RF5A5",8,5,0.25,7.64,2,14,5,180,0
"Exp2_S12","RF3A2",2,3,0.1,6.72,2,15,5,16.1646142999998,1
"Exp2_S12","RF3A5",6,3,0.25,6.53,2,16,5,48.5124508000004,1
"Exp2_S12","RF4A2",3,4,0.1,6.83,2,17,5,67.5717920000002,1
"Exp2_S12","RF8A5",9,8,0.25,9.72,2,18,5,15.4605372000001,1
"Exp2_S12","RF4A10",11,4,0.5,8.2,2,19,5,119.740286,1
"Exp2_S12","RF8A10",13,8,0.5,13.67,2,20,5,10.5889161,1
"Exp2_S12","RF4A5",7,4,0.25,7.04,2,21,5,180,0
"Exp2_S12","RF5A2",4,5,0.1,6.97,2,22,5,39.6067941000001,1
"Exp2_S12","RF0A0",1,0,0,7.22,2,23,5,23.7874735,1
"Exp2_S12","RF3A10",10,3,0.5,6.99,2,24,5,180,0
"Exp2_S12","RF8A2",5,8,0.1,7.52,2,25,5,63.7150315999997,1
"Exp2_S12","RF5A10",12,5,0.5,9.5,2,26,5,110.6483976,1
"Exp2_S22","RF5A10",12,5,0.5,9.5,1,1,1,1.86228970000001,1
"Exp2_S22","RF4A5",7,4,0.25,7.04,1,2,1,1.9002663,1
"Exp2_S22","RF5A2",4,5,0.1,6.97,1,3,1,1.54634419999999,1
"Exp2_S22","RF5A5",8,5,0.25,7.64,1,4,1,3.57465539999998,1
"Exp2_S22","RF4A10",11,4,0.5,8.2,1,5,1,3.77974039999998,1
"Exp2_S22","RF4A2",3,4,0.1,6.83,1,6,1,1.35486979999996,1
"Exp2_S22","RF3A5",6,3,0.25,6.53,1,7,1,1.16707509999992,1
"Exp2_S22","RF8A10",13,8,0.5,13.67,1,8,1,1.25070300000004,1
"Exp2_S22","RF3A2",2,3,0.1,6.72,1,9,1,1.28132449999998,1
"Exp2_S22","RF0A0",1,0,0,7.22,1,10,1,1.20461290000003,1
"Exp2_S22","RF3A10",10,3,0.5,6.99,1,11,1,1.39611239999999,1
"Exp2_S22","RF8A5",9,8,0.25,9.72,1,12,1,2.96261729999992,1
"Exp2_S22","RF8A2",5,8,0.1,7.52,1,13,1,3.59561080000003,1
"Exp2_S22","RF8A2",5,8,0.1,7.52,2,14,1,3.65275229999997,1
"Exp2_S22","RF0A0",1,0,0,7.22,2,15,1,2.4111041000001,1
"Exp2_S22","RF5A5",8,5,0.25,7.64,2,16,1,0.909307000000126,1
"Exp2_S22","RF4A10",11,4,0.5,8.2,2,17,1,1.6122127000001,1
"Exp2_S22","RF3A10",10,3,0.5,6.99,2,18,1,5.09148979999986,1
"Exp2_S22","RF4A5",7,4,0.25,7.04,2,19,1,1.70747890000007,1
"Exp2_S22","RF8A10",13,8,0.5,13.67,2,20,1,1.51959290000013,1
"Exp2_S22","RF5A2",4,5,0.1,6.97,2,21,1,1.17131260000019,1
"Exp2_S22","RF5A10",12,5,0.5,9.5,2,22,1,1.24776270000007,1
"Exp2_S22","RF3A2",2,3,0.1,6.72,2,23,1,0.996409599999879,1
"Exp2_S22","RF3A5",6,3,0.25,6.53,2,24,1,1.74158050000005,1
"Exp2_S22","RF4A2",3,4,0.1,6.83,2,25,1,2.71964430000003,1
"Exp2_S22","RF8A5",9,8,0.25,9.72,2,26,1,0.997519999999895,1
"Exp2_S22","RF5A10",12,5,0.5,9.5,1,1,2,2.4956092,1
"Exp2_S22","RF4A5",7,4,0.25,7.04,1,2,2,3.5806589,1
"Exp2_S22","RF5A2",4,5,0.1,6.97,1,3,2,2.14618759999999,1
"Exp2_S22","RF5A5",8,5,0.25,7.64,1,4,2,6.23130169999999,1
"Exp2_S22","RF4A10",11,4,0.5,8.2,1,5,2,8.24365619999998,1
"Exp2_S22","RF4A2",3,4,0.1,6.83,1,6,2,1.89847139999995,1
"Exp2_S22","RF3A5",6,3,0.25,6.53,1,7,2,1.9193477,1
"Exp2_S22","RF8A10",13,8,0.5,13.67,1,8,2,2.41886039999997,1
"Exp2_S22","RF3A2",2,3,0.1,6.72,1,9,2,2.95319759999995,1
"Exp2_S22","RF0A0",1,0,0,7.22,1,10,2,2.30019460000005,1
"Exp2_S22","RF3A10",10,3,0.5,6.99,1,11,2,2.10808609999992,1
"Exp2_S22","RF8A5",9,8,0.25,9.72,1,12,2,13.5550762999999,1
"Exp2_S22","RF8A2",5,8,0.1,7.52,1,13,2,4.95578679999994,1
"Exp2_S22","RF8A2",5,8,0.1,7.52,2,14,2,6.7728904999999,1
"Exp2_S22","RF0A0",1,0,0,7.22,2,15,2,3.09883119999995,1
"Exp2_S22","RF5A5",8,5,0.25,7.64,2,16,2,3.14242100000001,1
"Exp2_S22","RF4A10",11,4,0.5,8.2,2,17,2,2.17250289999993,1
